,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list
1722,1722,2,1.0,[4],None,None,False
1723,1723,2,1.0,[4],None,None,False
1724,1724,2,0.5435644431995964,[5],B,A,False
1725,1725,2,0.5435644431995964,[5],A,B,True
1726,1726,1,0.8112781244591328,[3],A,B,True
1727,1727,2,1.0,[4],None,None,False
1728,1728,2,1.0,[4],A,None,False
1729,1729,2,1.0,[4],A,None,False
1730,1730,2,1.0,[4],A,None,False
1731,1731,2,1.0,[4],B,None,False
1732,1732,2,1.0,[4],B,None,False
1733,1733,2,0.9544340029249649,[5],A,None,False
1734,1734,2,1.0,[4],None,None,False
1735,1735,2,0.9544340029249649,[5],A,B,False
1736,1736,2,1.0,[4],None,None,False
1737,1737,2,1.0,[4],None,None,False
1738,1738,2,1.0,[4],A,None,False
1739,1739,2,1.0,[4],None,None,False
1740,1740,2,0.5435644431995964,[5],A,B,False
1741,1741,2,0.9544340029249649,[5],B,A,False
1742,1742,2,0.9544340029249649,[5],A,None,False
1743,1743,2,0.9544340029249649,[5],B,None,False
1744,1744,2,1.0,[4],None,None,False
1745,1745,2,0.5435644431995964,[5],A,B,False
1746,1746,2,1.0,[4],None,None,False
1747,1747,2,1.0,[4],A,None,False
1748,1748,2,0.9544340029249649,[5],B,A,False
1749,1749,2,1.0,[4],None,None,False
1750,1750,2,0.9544340029249649,[5],B,A,False
1751,1751,2,0.5435644431995964,[5],A,B,True
1752,1752,2,0.8112781244591328,[5],A,B,False
1753,1753,2,0.5435644431995964,[5],A,B,False
1754,1754,2,1.0,[4],A,None,False
1755,1755,2,1.0,[4],None,None,False
1756,1756,2,0.8112781244591328,[5],B,A,False
1757,1757,2,1.0,[4],A,None,False
1758,1758,2,1.0,[4],A,None,False
1759,1759,2,0.9544340029249649,[5],A,None,False
1760,1760,2,0.5435644431995964,[5],A,B,True
1761,1761,1,0.8112781244591328,[3],A,B,True
1762,1762,2,1.0,[4],None,None,False
1763,1763,2,1.0,[4],None,None,False
1764,1764,2,0.9544340029249649,[5],A,None,False
1765,1765,2,1.0,[4],None,None,False
1766,1766,2,0.8112781244591328,[5],A,B,False
1767,1767,2,1.0,[4],None,None,False
1768,1768,2,0.8112781244591328,[5],A,B,False
1769,1769,2,1.0,[4],None,None,False
1770,1770,2,0.5435644431995964,[5],A,B,True
1771,1771,2,0.9544340029249649,[5],B,None,False
1772,1772,2,0.5435644431995964,[5],A,B,True
1773,1773,2,1.0,[4],None,None,False
1774,1774,2,1.0,[4],None,None,False
1775,1775,2,1.0,[4],None,None,False
