,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
8298,8298,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8298,"(((((B)#R1,(A)#R0),#H0),#H1))"
8299,8299,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8299,"(((B)#R0,((A)#R1,(#H0,#H1))))"
8300,8300,2,0.9544340029249649,[5],['A'],B,False,None,1,8300,"(((((B,#H0))#R1,(A)#R0),#H1))"
8301,8301,2,1.0,[4],['A'],None,False,A,0,8301,"((B,((((A)#R0)#R1,#H0),#H1)))"
8302,8302,2,1.0,[4],[],None,False,None,0,8302,"(((((B,A))#R1)#R0,(#H0,#H1)))"
8303,8303,2,1.0,[5],"['A', 'B']",None,False,None,0,8303,"((((B)#R0,#H1),((A)#R1,#H0)))"
8304,8304,2,1.0,[4],['A'],None,False,A,0,8304,"((B,((((A)#R0)#R1,#H0),#H1)))"
8305,8305,2,0.5435644431995964,[5],['B'],A,True,None,0,8305,"(((((#H0)#R1,A),#H1),(B)#R0))"
8306,8306,2,0.9544340029249649,[5],['B'],A,False,None,1,8306,"(((((A,#H1))#R0,(B)#R1),#H0))"
8307,8307,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8307,"((((A)#R1,((B)#R0,#H1)),#H0))"
8308,8308,2,0.5435644431995964,[5],['B'],A,False,None,1,8308,"(((((B)#R0)#R1,(A,#H0)),#H1))"
8309,8309,2,0.5435644431995964,[5],['A'],B,True,None,0,8309,"((((B,#H1),((A)#R0)#R1),#H0))"
8310,8310,2,0.5435644431995964,[5],['A'],B,False,None,0,8310,"((((A)#R0)#R1,((B,#H1),#H0)))"
8311,8311,2,0.5435644431995964,[5],['B'],A,False,None,0,8311,"((((B)#R1)#R0,((A,#H0),#H1)))"
8312,8312,2,0.8112781244591328,[5],['B'],None,False,B,0,8312,"((((((B)#R1)#R0,#H1),A),#H0))"
8313,8313,2,1.0,[4],['A'],None,False,A,0,8313,"(((((A)#R1,(#H1)#R0),#H0),B))"
8314,8314,2,0.5435644431995964,[5],['B'],A,True,None,0,8314,"(((((B)#R1)#R0,(A,#H0)),#H1))"
8315,8315,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8315,"(((B)#R1,(((A)#R0,#H1),#H0)))"
8316,8316,2,0.8112781244591328,[5],['A'],None,False,A,0,8316,"((((A)#R0)#R1,(B,(#H0,#H1))))"
8317,8317,2,0.5435644431995964,[5],['A'],B,False,None,1,8317,"(((((A)#R0)#R1,(B,#H0)),#H1))"
