Iteration;Newick
346;((((B)#R0,#H1),((A)#R1,#H0)));
347;((((A,#H0),((B)#R1)#R0),#H1));
348;(((A,#H0),(((B)#R1)#R0,#H1)));
349;(((A,#H0),(((B)#R1)#R0,#H1)));
350;(((((B,#H0))#R1,(A)#R0),#H1));
351;(((A,((B)#R1)#R0),(#H0,#H1)));
352;(((((B)#R0)#R1,(A,#H1)),#H0));
353;(((((A)#R1)#R0,(B,#H0)),#H1));
354;((((B,((A)#R0)#R1),#H0),#H1));
355;(((((B)#R0)#R1,(#H0,#H1)),A));
356;((((A)#R0)#R1,(B,(#H0,#H1))));
357;(((((B)#R0,(A)#R1),#H1),#H0));
358;((B,((((A)#R0)#R1,#H0),#H1)));
359;(((A)#R0,(((B)#R1,#H0),#H1)));
360;((((A,#H0))#R1,((B)#R0,#H1)));
361;((((A,((B)#R1)#R0),#H0),#H1));
362;((((B)#R0,#H1),((A)#R1,#H0)));
363;((((((B)#R0)#R1,#H0),A),#H1));
364;((B,(((#H0)#R1,(A)#R0),#H1)));
365;(((#H0)#R1,(((A)#R0,B),#H1)));
366;((((B)#R0,((A,#H0))#R1),#H1));
367;((((((B)#R0)#R1,A),#H1),#H0));
368;((A,(((B)#R0)#R1,(#H0,#H1))));
369;(((((A,#H1))#R0,(B)#R1),#H0));
370;((((A)#R1)#R0,((B,#H0),#H1)));
371;(((((A,#H1))#R0,(B)#R1),#H0));
372;(((((B)#R1,#H0),#H1),(A)#R0));
373;((((B)#R1)#R0,((A,#H0),#H1)));
374;(((((B)#R1)#R0,(A,#H1)),#H0));
375;((B,(((A)#R1,#H0),(#H1)#R0)));
376;(((((B)#R0)#R1,(A,#H0)),#H1));
377;((A,(((#H0)#R1,(B)#R0),#H1)));
378;(((#H1)#R0,((A)#R1,(B,#H0))));
379;(((A,(((B)#R1)#R0,#H1)),#H0));
380;(((A,#H1),((B)#R0,(#H0)#R1)));
381;(((((B)#R1)#R0,A),(#H0,#H1)));
382;(((B,(((A)#R1)#R0,#H1)),#H0));
383;((((((A)#R1)#R0,#H1),#H0),B));
384;(((((B,A))#R0)#R1,(#H0,#H1)));
385;((((A)#R1,(B,#H0)),(#H1)#R0));
386;(((((B)#R1,(A)#R0),#H1),#H0));
387;(((B)#R0,((A)#R1,(#H0,#H1))));
388;(((((A)#R1,(#H1)#R0),#H0),B));
389;(((((B,A))#R1)#R0,(#H0,#H1)));
390;((((A)#R0)#R1,((#H0,#H1),B)));
391;((((A)#R1)#R0,((#H0,#H1),B)));
392;(((A,(((B)#R1)#R0,#H1)),#H0));
393;(((((B)#R1,(A)#R0),#H1),#H0));
394;((((B)#R1)#R0,((A,#H1),#H0)));
395;((((A)#R0)#R1,((B,#H0),#H1)));
396;(((B,((#H1)#R0,(A)#R1)),#H0));
397;(((((B)#R1,(A)#R0),#H1),#H0));
398;(((B,((A)#R1)#R0),(#H0,#H1)));
399;(((((A)#R1,(B)#R0),#H1),#H0));
400;((((A)#R1)#R0,((B,#H0),#H1)));
401;(((A)#R1,(((#H1)#R0,B),#H0)));
402;(((((B)#R0,(#H0)#R1),A),#H1));
403;((((B)#R0,(A,#H1)),(#H0)#R1));
404;(((((A)#R1)#R0,#H1),(B,#H0)));
405;((((A)#R1,#H0),((B,#H1))#R0));
406;((((((A,B))#R1)#R0,#H1),#H0));
407;(((((A)#R1)#R0,(B,#H1)),#H0));
408;(((A)#R0,(((B)#R1,#H0),#H1)));
409;(((((A)#R1,(B)#R0),#H1),#H0));
410;((((A)#R1,(#H0,#H1)),(B)#R0));
411;(((((A)#R1)#R0,(#H0,#H1)),B));
412;(((((B)#R1)#R0,(A,#H0)),#H1));
