Iteration;Newick
388;(((((B,A))#R0,(#H0)#R1),#H1));
389;(((((A)#R0)#R1,(B,#H0)),#H1));
390;(((B)#R0,((A,#H1),(#H0)#R1)));
391;((((A)#R1)#R0,((B,#H0),#H1)));
392;(((((A,B))#R1)#R0,(#H0,#H1)));
393;((((A)#R0,((B)#R1,#H0)),#H1));
394;((((#H1)#R0,A),((B)#R1,#H0)));
395;(((((B)#R0)#R1,#H0),(A,#H1)));
396;(((((A,B))#R0)#R1,(#H0,#H1)));
397;(((((B)#R0)#R1,(A,#H0)),#H1));
398;(((#H0,#H1),((A)#R1,(B)#R0)));
399;(((A)#R0,(((B)#R1,#H0),#H1)));
400;((((A)#R1,#H0),(B,(#H1)#R0)));
401;((((A)#R0)#R1,(B,(#H0,#H1))));
402;((((B,#H1))#R0,((A)#R1,#H0)));
403;((A,(((B)#R1,(#H1)#R0),#H0)));
404;(((B)#R1,((#H1)#R0,(A,#H0))));
405;(((B,(((A)#R1)#R0,#H1)),#H0));
406;((((B)#R0,(A,(#H0)#R1)),#H1));
407;((((A)#R1)#R0,((B,#H0),#H1)));
408;((((B)#R0,#H1),(A,(#H0)#R1)));
409;(((((B)#R0,A))#R1,(#H0,#H1)));
410;((((A)#R0)#R1,((B,#H1),#H0)));
411;(((#H0,#H1),(B,((A)#R1)#R0)));
412;((((((A)#R0)#R1,#H0),#H1),B));
413;(((#H1)#R0,(A,((B)#R1,#H0))));
414;((((((A)#R1,B))#R0,#H1),#H0));
415;(((A,#H1),(((B)#R0)#R1,#H0)));
416;(((#H0,#H1),(((A)#R0,B))#R1));
417;(((B)#R1,(((A)#R0,#H1),#H0)));
418;((((((B)#R1)#R0,A),#H0),#H1));
419;(((#H1)#R0,(((A)#R1,#H0),B)));
420;((((B)#R0,#H1),((A,#H0))#R1));
421;((A,((((B)#R0)#R1,#H0),#H1)));
422;(((((A)#R1,#H0),(#H1)#R0),B));
423;(((((A,B))#R1)#R0,(#H0,#H1)));
424;(((((A)#R0,B))#R1,(#H0,#H1)));
425;(((((B,#H1))#R0,(A)#R1),#H0));
426;(((((B)#R1)#R0,(A,#H1)),#H0));
427;((((B,(A)#R0),(#H0)#R1),#H1));
428;((((((A)#R1)#R0,#H1),B),#H0));
429;(((((A)#R1)#R0,(B,#H0)),#H1));
430;(((((B)#R0)#R1,(A,#H0)),#H1));
431;(((((#H1)#R0,(B)#R1),A),#H0));
432;((A,((((B)#R1)#R0,#H1),#H0)));
433;((((((A)#R1)#R0,#H1),#H0),B));
