,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
9334,9334,2,0.9544340029249649,[5],['B'],A,False,None,1,9334,"((((((B)#R0,A))#R1,#H0),#H1))"
9335,9335,2,1.0,[5],"['A', 'B']",None,False,None,0,9335,"((((B)#R0,#H1),((A)#R1,#H0)))"
9336,9336,2,0.9544340029249649,[5],['B'],A,False,None,1,9336,"((((((B)#R1,A))#R0,#H1),#H0))"
9337,9337,2,1.0,[5],"['A', 'B']",None,False,None,0,9337,"((((B)#R0,#H1),((A)#R1,#H0)))"
9338,9338,2,0.8112781244591328,[5],['A'],None,False,A,0,9338,"(((#H0)#R1,(((A)#R0,#H1),B)))"
9339,9339,2,0.5435644431995964,[5],['A'],B,True,None,0,9339,"((((((A)#R0)#R1,B),#H1),#H0))"
9340,9340,2,1.0,[4],['A'],None,False,A,0,9340,"((B,((((A)#R1)#R0,#H1),#H0)))"
9341,9341,2,1.0,[4],[],None,False,None,0,9341,"(((((A,B))#R1)#R0,(#H0,#H1)))"
9342,9342,2,0.5435644431995964,[5],['B'],A,True,None,0,9342,"(((((B)#R1)#R0,(A,#H0)),#H1))"
9343,9343,2,1.0,[4],['B'],None,False,B,0,9343,"((A,((((B)#R1)#R0,#H1),#H0)))"
9344,9344,2,1.0,[4],[],None,False,None,0,9344,"((((#H1)#R0,((A,B))#R1),#H0))"
9345,9345,2,0.8112781244591328,[5],['A'],None,False,A,0,9345,"((((A)#R1)#R0,(B,(#H0,#H1))))"
9346,9346,2,0.8112781244591328,[5],['B'],None,False,B,0,9346,"(((((B)#R1,#H0),A),(#H1)#R0))"
9347,9347,2,0.5435644431995964,[5],['B'],A,False,None,1,9347,"((((B)#R1)#R0,((A,#H1),#H0)))"
9348,9348,2,0.5435644431995964,[5],['A'],B,False,None,0,9348,"((((B,((A)#R0)#R1),#H0),#H1))"
9349,9349,2,0.5435644431995964,[5],['B'],A,False,None,0,9349,"((((B)#R0)#R1,((A,#H1),#H0)))"
9350,9350,2,0.5435644431995964,[5],['A'],B,True,None,0,9350,"((((((A)#R1)#R0,B),#H0),#H1))"
9351,9351,2,0.5435644431995964,[5],['B'],A,False,None,1,9351,"((((#H0)#R1,(A,(B)#R0)),#H1))"
9352,9352,2,0.5435644431995964,[5],['B'],A,False,None,0,9352,"((((A,#H1),#H0),((B)#R0)#R1))"
9353,9353,2,0.9544340029249649,[5],['A'],B,False,None,1,9353,"((((A)#R1,((B,#H1))#R0),#H0))"
9354,9354,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9354,"(((B)#R1,((A)#R0,(#H0,#H1))))"
